Date,TransitApp-NYC
2020-02-29,-0.8
2020-03-31,-38.29032258064516
2020-04-30,-72.8
2020-05-31,-69.87096774193549
2020-06-30,-59.63333333333333
2020-07-31,-51.38709677419355
2020-08-31,-42.96774193548387
2020-09-30,-54.7
2020-10-31,-54.67741935483871
2020-11-30,-55.46666666666667
2020-12-31,-53.096774193548384
2021-01-31,-56.516129032258064
2021-02-28,-50.07142857142857
2021-03-31,-50.87096774193548
2021-04-30,-45.4
2021-05-31,-42.12903225806452
2021-06-30,-32.03333333333333
2021-07-31,-29.612903225806452
2021-08-31,-22.806451612903224
2021-09-30,-16.033333333333335
2021-10-31,-14.612903225806452
2021-11-30,-17.333333333333332
2021-12-31,-15.129032258064516
2022-01-31,-22.29032258064516
2022-02-28,-9.678571428571429
2022-03-31,-5.0
2022-04-30,-11.2
2022-05-31,-19.516129032258064
2022-06-30,-15.857142857142858
