date,transit
2020-03-31,10.450113617560987
2020-04-30,-74.45228803493349
2020-05-31,-66.98063715367205
2020-06-30,-48.50227465292436
2020-07-31,-34.740024959843495
2020-08-31,-30.10847389922851
2020-09-30,-26.997894173562695
2020-10-31,-22.103134061204333
2020-11-30,-27.213263910991223
2020-12-31,-30.55890342427312
2021-01-31,-33.95287783996468
2021-02-28,-31.430111197524617
2021-03-31,-19.665761383102893
2021-04-30,-13.491609247312594
2021-05-31,-9.895420657070243
2021-06-30,1.3227665558708113
2021-07-31,-0.37845932012008465
2021-08-31,-1.0159563924294241
2021-09-30,13.040791604699374
2021-10-31,21.44671665644893
2021-11-30,21.904796540065156
2021-12-31,12.381091627108175
2022-01-31,-7.5563855055613205
2022-02-28,11.512610899457803
2022-03-31,25.313744273518477
2022-04-30,22.80304560591186
2022-05-31,25.18559564663288
2022-06-30,29.05468735904559
