date,rail,bus,transit_agency
5/26/2022,237000,299000,536000
5/27/2022,193000,269000,462000
5/28/2022,167000,186000,353000
5/29/2022,154000,75000,229000
5/30/2022,128000,88000,216000
5/31/2022,230000,303000,533000
6/1/2022,248000,321000,569000
6/2/2022,232000,292000,524000
6/3/2022,235000,313000,548000
6/4/2022,163000,168000,331000
6/5/2022,124000,142000,266000
6/6/2022,229000,277000,506000
6/7/2022,261000,275000,536000
6/8/2022,267000,284000,551000
6/9/2022,263000,276000,539000
6/10/2022,258000,279000,537000
6/11/2022,226000,163000,389000
6/12/2022,153000,143000,296000
6/13/2022,239000,279000,518000
6/14/2022,274000,275000,549000
6/15/2022,280000,292000,572000
6/16/2022,274000,277000,551000
6/17/2022,283000,260000,543000
6/18/2022,227000,173000,400000
