date,transit
2020-01-31,0.008947368421057957
2020-02-29,-0.3131034482758566
2020-03-31,-50.878709677419344
2020-04-30,-76.77999999999999
2020-05-31,-73.6616129032258
2020-06-30,-64.017
2020-07-31,-59.51451612903225
2020-08-31,-55.66451612903226
2020-09-30,-53.63466666666666
2020-10-31,-56.515161290322574
2020-11-30,-62.845666666666666
2020-12-31,-65.10354838709677
2021-01-31,-62.64193548387097
2021-02-28,-58.200357142857136
2021-03-31,-53.52766666666666
2021-04-30,-45.62766666666666
2021-05-31,-37.899032258064516
2021-06-30,-20.14166666666666
2021-07-31,-6.047419354838704
2021-08-31,-9.594193548387091
2021-09-30,-0.5409999999999945
2021-10-31,18.674838709677424
2021-11-30,1.761333333333338
2021-12-31,-6.715161290322576
2022-01-31,-11.833225806451606
2022-02-28,-1.3782142857142803
2022-03-31,11.159333333333338
2022-04-30,19.384166666666673
